episode_id,entry_cycle,entry_session,exit_session,gross,net,net_of_benchmark,fold,in_oos,embargoed,entry_weekend,next_close_fill,fill_days_after_cycle,entry_freeze_prob,entry_temperature_min,forecast_cycle_id,publication_ts,model_version,contract_month,adjustment_factor,scored
1,2022-01-21,2022-01-21,2022-01-25,-0.007640859120815691,-0.01064085912081569,-0.013046350830614721,seed,False,False,False,False,0,0.014141414141414142,-1.1947387695312273,20220121_12z,2022-01-21 15:30:00+00:00,GFS-0p50,Mar22,1.0896910251728018,False
2,2022-01-27,2022-01-27,2022-01-31,-0.08604152827419076,-0.08904152827419076,-0.0914470199839898,seed,False,False,False,False,0,0.026262626262626262,-2.0362304687499773,20220127_12z,2022-01-27 15:30:00+00:00,GFS-0p50,Mar22,1.0896910251728014,False
3,2022-03-11,2022-03-11,2022-03-15,0.028478709698286142,0.025478709698286143,0.02307321798848711,seed,False,False,False,False,0,0.04242424242424243,-2.1502441406249773,20220311_12z,2022-03-11 15:30:00+00:00,GFS-0p50,May22,1.0588575567901075,False
4,2022-12-21,2022-12-21,2022-12-23,-0.03138907024611881,-0.034389070246118814,-0.03679456195591784,fold1,True,False,False,False,0,0.012121212121212121,-3.7171081542968523,20221221_12z,2022-12-21 15:30:00+00:00,GFS-0p50,Jan23,1.126527936261892,True
5,2023-01-13,2023-01-13,2023-01-18,-0.007963291123486482,-0.010963291123486481,-0.013368782833285513,fold1,True,False,False,False,0,0.00404040404040404,-0.30930175781247726,20230113_12z,2023-01-13 15:30:00+00:00,GFS-0p50,Mar23,1.1414598068342294,True
6,2024-01-15,2024-01-16,2024-01-18,-0.004514213813886059,-0.007514213813886059,-0.00991970552368509,fold2,True,False,False,True,1,0.04242424242424243,-3.0094665527343523,20240115_12z,2024-01-15 15:30:00+00:00,GFS-0p50,Mar24,1.0900034977951405,True
7,2025-01-05,2025-01-06,2025-01-08,-0.006652095101387978,-0.009652095101387977,-0.012057586811187009,fold3,True,False,True,True,1,0.01616161616161616,-0.7505859374999773,20250105_12z,2025-01-05 15:30:00+00:00,GFS-0p50,Mar25,0.9837986631731216,True
8,2025-01-18,2025-01-21,2025-01-23,0.029039617968795506,0.026039617968795507,0.023634126258996475,fold3,True,False,True,True,3,0.03232323232323232,-2.3442443847656023,20250118_12z,2025-01-18 15:30:00+00:00,GFS-0p50,Mar25,0.9837986631731214,True
9,2025-02-19,2025-02-19,2025-02-21,-0.06188975732543367,-0.06488975732543367,-0.06729524903523271,fold3,True,False,False,False,0,0.026262626262626262,-1.3122314453124773,20250219_12z,2025-02-19 15:30:00+00:00,GFS-0p50,Mar25,0.9837986631731216,True
10,2025-11-09,2025-11-10,2025-11-12,-0.06549253767942631,-0.06849253767942631,-0.07089802938922535,fold4,True,False,True,True,1,0.020202020202020204,-1.0315307617187273,20251109_12z,2025-11-09 15:30:00+00:00,GFS-0p50,Jan26,0.9375289614401715,True
11,2025-12-13,2025-12-15,2025-12-17,0.021667205752402774,0.018667205752402775,0.016261714042603743,fold4,True,False,True,True,2,0.010101010101010102,-1.7027648925781023,20251213_12z,2025-12-13 15:30:00+00:00,GFS-0p50,Jan26,0.9375289614401716,True
12,2025-12-29,2025-12-29,2025-12-31,-0.005332070224156382,-0.008332070224156381,-0.010737561933955413,fold4,True,False,False,False,0,0.006060606060606061,-0.28122558593747726,20251229_12z,2025-12-29 15:30:00+00:00,GFS-0p50,Jan26,0.9375289614401715,True
13,2026-01-14,2026-01-14,2026-01-16,0.05489504901881337,0.051895049018813366,0.04948955730901434,fold4,True,False,False,False,0,0.03636363636363636,-2.1553405761718523,20260114_12z,2026-01-14 15:30:00+00:00,GFS-0p50,Mar26,0.9542705069543992,True
14,2026-01-25,2026-01-26,2026-01-28,0.03328774715080551,0.030287747150805514,0.027882255441006483,fold4,True,False,True,True,1,0.048484848484848485,-4.352117919921852,20260125_12z,2026-01-25 15:30:00+00:00,GFS-0p50,Mar26,0.9542705069543993,True
15,2026-01-30,2026-01-30,2026-02-03,-0.20132637977831014,-0.20432637977831014,-0.20673187148810918,fold4,True,False,False,False,0,0.10303030303030303,-5.452734374999977,20260130_12z,2026-01-30 15:30:00+00:00,GFS-0p50,Mar26,0.9542705069543993,True
16,2026-02-21,2026-02-23,2026-02-25,0.06881665780048829,0.06581665780048829,0.06341116609068925,fold4,True,False,True,True,2,0.006060606060606061,-0.37708129882810226,20260221_12z,2026-02-21 15:30:00+00:00,GFS-0p50,Mar26,0.9542705069543993,True
